"name","id"
"Akshay Kumar",1
"Aishwarya Rai Bachchan",2
"Om Puri",3
"Kiron Kher",4
"Neha Dhupia",5
"Rannvijay Singh",6
"Aditya Roy Kapur",7
"Sudeepa Singh",8
"Randhir Kapoor",9
"Gippy Grewal",10
"Gurpreet Guggi",11
"Ragini Khanna",12
"B.N. Sharma",13
"Avtar Gill",14
"Karamjit Anmol",15
"Irrfan Khan",16
"Shah Rukh Khan",17
"Lara Dutta",18
"Rajpal Yadav",19
"Asrani",20
"Pat Cusick",21
"Navin Nischol",22
"Shahid Kapoor",23
"Kareena Kapoor",24
"Sunil Shetty",25
"Paresh Rawal",26
"Abhishek Bachchan",27
"Sonam Kapoor",28
"Waheeda Rehman",29
"Prem Chopra",30
"Atul Kulkarni",31
"Pavan Malhotra",32
"Divya Dutta",33
"Deepak Dobriyal",34
"Mithun Chakraborty",35
"Kim",36
"Kalpana Iyer",37
"Gita Siddharth",38
"Yusuf Khan",39
"Bob Christo",40
"Om Shivpuri",41
"Priyanka Chopra",42
"Arjun Rampal",43
"Isha Koppikar",44
"Boman Irani",45
"Kunal Kapoor",46
"Alyy Khan",47
"Sunny Deol",48
"Meenakshi Sheshadri",49
"Amrish Puri",50
"Moushumi Chatterjee",51
"Kulbhushan Kharbanda",52
"Raj Babbar",53
"Vidya Balan",54
"Juhi Chawla",55
"Vishal Malhotra",56
"Karanvir Bohra",57
"Saif Ali Khan",58
"Diya Mirza",59
"Vivek Oberoi",60
"Rupinder Nagra",61
"Amitabh Bachchan",62
"Rati Agnihotri",63
"Tinnu Anand",64
"Hrithik Roshan",65
"Preity Zinta",66
"Sharad Kapoor",67
"Rajendranath Zutshi",68
"Sushant Singh",69
"Prashant Chainani",70
"Shakeel Khan",71
"Shabana Azmi",72
"Smita Patil",73
"Naseeruddin Shah",74
"Saeed Jaffrey",75
"Sreela Mazumdar",76
"Harshvardhan Kapoor",77
"Saiyami Kher",78
"Anuj Choudhry",79
"Art Malik",80
"K.K. Raina",81
"Apoorva Arora",82
"Arun Bali",83
"Honey Chaaya",84
"Poonam Jhawer",85
"Mahesh Manjrekar",86
"Sanjay Dutt",87
"Nandita Das",88
"Jackie Shroff",89
"Mita Vashisht",90
"Sachin Khedekar",91
"Anjan Srivastav",92
"Dinesh Anand",93
"Mink Singh",94
"Seema Biswas",95
"Kunal Sheth",96
"Rahul Patel",97
"Katarina Kajkus",98
"Farrah Kader",99
"Govind Namdeo",100
"Anil Kapoor",101
"Madhuri Dixit",102
"Namrata Shirodkar",103
"Danny Denzongpa",104
"Farida Jalal",105
"Aamir Khan",106
"Siddharth",107
"Sharman Joshi",108
"Alice Patten",109
"Soha Ali Khan",110
"Anupam Kher",111
"Javed Sheikh",112
"Swati Chitnis",113
"Masood Akhtar",114
"Sudhir Nema",115
"Hrishitaa Bhatt",116
"Mohnish Bahl",117
"Helen",118
"Ashish Vidyarthi",119
"A.K. Hangal",120
"Daisy Irani",121
"Dara Singh",122
"Viju Khote",123
"Riteish Deshmukh",124
"Genelia D'Souza",125
"Smita Jaykar",126
"Chitrashi Rawat",127
"Navin Prabhakar",128
"Helen Mirren",129
"Manish Dayal",130
"Charlotte Le Bon",131
"Amit Shah",132
"Farzana Dua Elahe",133
"Dillon Mitra",134
"Steve Coogan",135
"Emma Gilmour",136
"Susan Jane Tanner",137
"Iain Mitchell",138
"James Smith",139
"Steven Waddington",140
"Ben Miller",141
"Lena Headey",142
"Hugh Bonneville",143
"Gillian Anderson",144
"Huma Qureshi",145
"Michael Gambon",146
"David Hayman",147
"Simon Callow",148
"Denzil Smith",149
"Neeraj Kabi",150
"Tanveer Ghani",151
"Niharica Raizada",152
"Rajat Barmecha",153
"Lucy Pinder",154
"Gulshan Grover",155
"Tim Man",156
"Ron Smoorenburg",157
"Ajay Devgn",158
"Esha Deol",159
"Rani Mukerji",160
"Loveleen Mishra",161
"Anant Nag",162
"Vijay Raaz",163
"Rana Jung Bahadur",164
"Manoj Joshi",165
"Perizaad Zorabian",166
"Shakti Kapoor",167
"Sheeba Chaddha",168
"Karan Razdan",169
"Nawab Shah",170
"Shabbir Khan",171
"Amit Varma",172
"Nauheed Cyrusi",173
"Rahul Singh",174
"Ranvir Shorey",175
"Neena Gupta",176
"Anjali Patil",177
"Dalip Tahil",178
"Shivaji Satham",179
"Madhavan",180
"Rakesh Srivastava",181
"Shubha Khote",182
"Kartar Cheema",183
"Aria Pandya",184
"Jenny Agutter",185
"Lily Travers",186
"KaramVeer Chaudhary",187
"Sonu Sood",188
